name harvest
size 30 30
food 0 1 1
food 0 2 1
food 0 3 1
food 0 4 1
food 0 5 1
food 0 6 1
food 0 7 1
food 0 8 1
food 0 9 1
food 0 10 1
food 0 11 1
food 0 12 1
food 0 13 1
food 1 1 1
food 1 2 1
food 1 3 1
food 1 4 1
food 1 5 1
food 1 6 1
food 1 7 1
food 1 8 1
food 1 9 1
food 1 10 1
food 1 11 1
food 1 12 1
food 1 13 1
food 1 14 1
food 1 15 1
food 2 1 1
food 2 2 1
food 2 3 1
food 2 4 1
food 2 5 1
food 2 6 1
food 2 7 1
food 2 8 1
food 2 9 1
food 2 10 1
food 2 11 1
food 2 12 1
food 2 13 1
food 2 14 1
food 2 15 1
food 3 2 1
food 3 3 1
food 3 4 1
food 3 5 1
food 3 6 1
food 3 7 1
food 3 8 1
food 3 9 1
food 3 10 1
food 3 11 1
food 3 12 1
food 3 13 1
food 3 14 1
food 3 15 1
food 3 16 1
food 4 2 1
food 4 3 1
food 4 4 1
food 4 5 1
food 4 6 1
food 4 7 1
food 4 8 1
food 4 9 1
food 4 10 1
food 4 11 1
food 4 12 1
food 4 13 1
food 4 14 1
food 4 15 1
food 4 16 1
food 5 3 1
food 5 4 1
food 5 5 1
food 5 6 1
food 5 7 1
food 5 8 1
food 5 9 1
food 5 10 1
food 5 11 1
food 5 12 1
food 5 13 1
food 5 14 1
food 5 15 1
food 5 16 1
food 5 17 1
food 6 3 1
food 6 4 1
food 6 5 1
food 6 6 1
food 6 7 1
food 6 8 1
food 6 9 1
food 6 10 1
food 6 11 1
food 6 12 1
food 6 13 1
food 6 14 1
food 6 15 1
food 6 16 1
food 6 17 1
food 7 4 1
food 7 5 1
food 7 6 1
food 7 7 1
food 7 8 1
food 7 9 1
food 7 10 1
food 7 11 1
food 7 12 1
food 7 13 1
food 7 14 1
food 7 15 1
food 7 16 1
food 7 17 1
food 7 18 1
food 8 4 1
food 8 5 1
food 8 6 1
food 8 7 1
food 8 8 1
food 8 9 1
food 8 10 1
food 8 11 1
food 8 12 1
food 8 13 1
food 8 14 1
food 8 15 1
food 8 16 1
food 8 17 1
food 8 18 1
food 9 5 1
food 9 6 1
food 9 7 1
food 9 8 1
food 9 9 1
food 9 10 1
food 9 11 1
food 9 12 1
food 9 13 1
food 9 14 1
food 9 15 1
food 9 16 1
food 9 17 1
food 9 18 1
food 9 19 1
food 10 5 1
food 10 6 1
food 10 7 1
food 10 8 1
food 10 9 1
food 10 10 1
food 10 11 1
food 10 12 1
food 10 13 1
food 10 14 1
food 10 15 1
food 10 16 1
food 10 17 1
food 10 18 1
food 10 19 1
food 11 6 1
food 11 7 1
food 11 8 1
food 11 9 1
food 11 10 1
food 11 11 1
food 11 12 1
food 11 13 1
food 11 14 1
food 11 15 1
food 11 16 1
food 11 17 1
food 11 18 1
food 11 19 1
food 11 20 1
food 12 6 1
food 12 7 1
food 12 8 1
food 12 9 1
food 12 10 1
food 12 11 1
food 12 12 1
food 12 13 1
food 12 14 1
food 12 15 1
food 12 16 1
food 12 17 1
food 12 18 1
food 12 19 1
food 12 20 1
food 13 7 1
food 13 8 1
food 13 9 1
food 13 10 1
food 13 11 1
food 13 12 1
food 13 13 1
food 13 14 1
food 13 15 1
food 13 16 1
food 13 17 1
food 13 18 1
food 13 19 1
food 13 20 1
food 13 21 1
food 14 7 1
food 14 8 1
food 14 9 1
food 14 10 1
food 14 11 1
food 14 12 1
food 14 13 1
food 14 14 1
food 14 15 1
food 14 16 1
food 14 17 1
food 14 18 1
food 14 19 1
food 14 20 1
food 14 21 1
food 15 8 1
food 15 9 1
food 15 10 1
food 15 11 1
food 15 12 1
food 15 13 1
food 15 14 1
food 15 15 1
food 15 16 1
food 15 17 1
food 15 18 1
food 15 19 1
food 15 20 1
food 15 21 1
food 15 22 1
food 16 8 1
food 16 9 1
food 16 10 1
food 16 11 1
food 16 12 1
food 16 13 1
food 16 14 1
food 16 15 1
food 16 16 1
food 16 17 1
food 16 18 1
food 16 19 1
food 16 20 1
food 16 21 1
food 16 22 1
food 17 9 1
food 17 10 1
food 17 11 1
food 17 12 1
food 17 13 1
food 17 14 1
food 17 15 1
food 17 16 1
food 17 17 1
food 17 18 1
food 17 19 1
food 17 20 1
food 17 21 1
food 17 22 1
food 17 23 1
food 18 9 1
food 18 10 1
food 18 11 1
food 18 12 1
food 18 13 1
food 18 14 1
food 18 15 1
food 18 16 1
food 18 17 1
food 18 18 1
food 18 19 1
food 18 20 1
food 18 21 1
food 18 22 1
food 18 23 1
food 19 10 1
food 19 11 1
food 19 12 1
food 19 13 1
food 19 14 1
food 19 15 1
food 19 16 1
food 19 17 1
food 19 18 1
food 19 19 1
food 19 20 1
food 19 21 1
food 19 22 1
food 19 23 1
food 19 24 1
food 20 10 1
food 20 11 1
food 20 12 1
food 20 13 1
food 20 14 1
food 20 15 1
food 20 16 1
food 20 17 1
food 20 18 1
food 20 19 1
food 20 20 1
food 20 21 1
food 20 22 1
food 20 23 1
food 20 24 1
food 21 11 1
food 21 12 1
food 21 13 1
food 21 14 1
food 21 15 1
food 21 16 1
food 21 17 1
food 21 18 1
food 21 19 1
food 21 20 1
food 21 21 1
food 21 22 1
food 21 23 1
food 21 24 1
food 21 25 1
food 22 11 1
food 22 12 1
food 22 13 1
food 22 14 1
food 22 15 1
food 22 16 1
food 22 17 1
food 22 18 1
food 22 19 1
food 22 20 1
food 22 21 1
food 22 22 1
food 22 23 1
food 22 24 1
food 22 25 1
food 23 12 1
food 23 13 1
food 23 14 1
food 23 15 1
food 23 16 1
food 23 17 1
food 23 18 1
food 23 19 1
food 23 20 1
food 23 21 1
food 23 22 1
food 23 23 1
food 23 24 1
food 23 25 1
food 23 26 1
food 24 12 1
food 24 13 1
food 24 14 1
food 24 15 1
food 24 16 1
food 24 17 1
food 24 18 1
food 24 19 1
food 24 20 1
food 24 21 1
food 24 22 1
food 24 23 1
food 24 24 1
food 24 25 1
food 24 26 1
food 25 13 1
food 25 14 1
food 25 15 1
food 25 16 1
food 25 17 1
food 25 18 1
food 25 19 1
food 25 20 1
